영단어,동의어,단어뜻,예문,예문뜻
blame,criticize,"비난하다, 나무라다 ; ~의 책임[원인]으로 돌리다",I don't blame him for what he did.,저는 그가 한 일로 그를 탓하지 않습니다.
admire,,"감탄하다, 칭찬하다","We admired his wisdom, not to mention his courage.","우리는 그의 용기는 말할 것도 없고, 그의 지혜에도 감탄했다."
criticize,find fault with,비판[평론]하다 ; 비평하다,They were banished from their country for criticizing the government.,그들은 정부를 비판했다는 이유로 나라에서 추방되었다.
realize,,"실현하다 , 현실화하다; 깨닫다, 실감하다",It is not until we lose health that we realize the value of it.,건강을 잃고서야 비로소 건강의 소중함을 안다.
complain,grumble,"v. 불평하다 , 한탄하다",Many people complain that they cannot find time for reading.,많은 사람들이 독서할 시간이 없다고 푸념한다.
confidence,"faith, belief","(자기에 대한) 자신, 확신 ; (남에 대한) 신용, 신뢰; 비밀",The future is indeed incalculable but we must face it with faith and confidence.,미래는 헤아릴 수가 없지만 우리는 신념과 자신감을 가지고 미래에 부딪쳐야 한다.
argue,dispute,논의하다; 주장하다 : 논쟁하다,They were arguing about who should sit in front.,그들은 누가 앞에 앉을 것이냐를 두고 다투고 있었다.
conceive,"imagine, suppose",생각하다 ; 상상하다; (생각을) 품다,I cannot conceive of your doing such a silly thing.,당신이 그렇게 어리석은 짓을 하리라고는 생각할 수 없다.
condemn,criticize,"비난하다 , 책망하다","Condemn the offense, but pity the offender.",죄는 미워해도 사람은 미워하지 않는다.
comment,,"비평[논평]하다 , 의견을 말하다; 주석하다: 논평, 비평",He often comments on the rumor of other's private lives.,그는 남의 사생활에 대한 소문에 관해 말을 종종 한다.
contain,include,"포함하다 , (속에) 담고 있다, 내포하다",Most thermometers contain mercury in a narrow tube.,대부분의 온도계는 좁은 관 안에 수은이 들어 있다.
convince,persuade,"납득시키다, 확신시키다 , 깨닫게 하다",At first everybody was convinced of his innocence.,처음에는 모두가 그의 무죄를 확신했다.
comprehend,understand,"이해하다 , 파악하다 , 깨닫다; 포함[내포]하 다",It is difficult to comprehend the reason for their failure.,그들이 실패한 이유를 이해하기는 어렵다.
dialect,,"방언(方言), 지방 사투리","In every country, there are dialects besides the standard language.",어느 나라에나 표준어 이외에 방언이 있다.
translate,,번역하다 ; (행동·말 등을) 해석하다,The book was translated from English into Korean.,그 책은 영어에서 한국어로 번역되었다.
praise,,"칭찬하다 ; (신을) 찬미하다; 칭찬, 찬미",All the people praised him for his courage.,모든 사람들이 그의 용기를 칭송했다.
expression,,"표현(법), 표시; 말씨, 어법, 말투; 표정",Polite expressions are well developed in the Korean language.,한국어에는 경어 표현이 잘 발달되어 있다.
fluent,,"유창한, 거침없는, 능변의",I will study English until I am fluent.,유창하게 말을 할 때까지 영어 공부를 할 것이다.
include,"contain, involve","포함하다 ; 포함시키다, 넣다",How much for a room including breakfast?,아침 식사가 포함된 방은 얼마입니까?
interpret,translate,"통역하다 ; 해석하다 , 설명하다; 이해하다","However, to understand dreams, we must learn to interpret them.",그러나 꿈을 이해하기 위해서는 그것들을 해석하는 법을 알아야만 한다.
offend,,기분을 상하게 하다; 성나게 하다,I didn't mean to offend his feelings.,나는 그의 감정을 상하게 할 의도는 아니었다.
scold,,"꾸짖다, 잔소리하다",I tremble to think that I may be scolded by my father.,아버지께 꾸중을 들을지 모른다고 생각하니 몹시 걱정된다.
mention,refer to,"말하다, 언급하다",They forbade me to mention the subject.,그들은 내게 그 문제에 대해 언급을 못하게 했다.
persuade,"convince, assure","설득하다 , 권유하여 ~시키 다",He seems to have trouble persuading her.,그는 그녀를 설득하느라고 애를 쓰고 있는 것 같다.
refer,,언급하다 ; 참고로 하다; 조회[문의]하다,What exactly are you referring to?,정확히 어떤 걸 말씀하시는 거죠?
remark,comment,"의견을 말하다 , 비평하다; 주의, 주목; 관찰; 소견, 비평",It would be rude to remark upon her appearance.,그녀의 용모에 대해 이러쿵저러쿵하는 것은 실례가 될 것이다.
signify,"mean, represent","의미하다, 뜻하다 ; 표시하다; 나타내다; 알 리다","A white wedding gown signifies a first-time bride, not chastity.",하얀 웨딩드레스는 순결이 아닌 첫 결혼을 의미합니다.
debate,"discuss, argue, dispute","토론, 논쟁; 숙고",Congress is debating a new deficit reduction bill.,국회는 새로운 적자 축소 법안에 대해 논쟁 중이다.
symbolize,,"상징하다 , 나타내다",A lily symbolizes purity.,백합은 순결을 상징한다.
urge,,"재촉하다 , 노력하게 하다; 주장하다",The aggressive salesman urged me to sign the contract right away.,그 적극적인 판매원은 바로 계약서에 서명하라고 나를 재촉했다.
anxious,,"걱정스러운, 불안한 ; 열망하는",I'm anxious about my health.,나의 건강이 걱정스럽다.
anxious,,"걱정스러운, 불안한 ; 열망하는",I'm anxious for the winter sports that will soon begin.,난 겨울 스포츠가 곧 시작되는 것이 무척 기다려집니다.
reason,,"이성(理性), 지성; 추리력; 판단력; 이유, 까닭 vi.추론하다, 판단을 내리다",Only man has reason.,인간만이 이성을 지니고 있다.
reason,,"이성(理性), 지성; 추리력; 판단력; 이유, 까닭 vi.추론하다, 판단을 내리다",Copernicus reasoned that the earth revolved around the sun.,코페르니쿠스는 지구가 태양의 주위를 돈다고 추리했다.
patience,,"인내(력), 참을성 ; 끈기",Patience is one of the virtues that everyone should have.,인내는 모든 사람이 갖추어야 할 미덕 중 하나이다.
nervous,"uneasy, anxious","신경질적인 , 흥분하기 쉬운; 소심한","I have an English test tomorrow, so I am very nervous.",내일은 영어 시험이 있어서 긴장된다.
aptitude,,"소질, 재능, 적성","This year's College Scholastic Ability Test in Korea was criticized as being too easy, and thus lacking in assessment function of aptitude.",이번 대입 수학 능력 시험은 너무 쉬워서 변별력이 없다는 지적을 받았다.
attitude,posture,"태도, 마음가짐 ; 자세",I felt deeply insulted by her arrogant attitude.,나는 그녀의 거만한 태도에 심한 모욕감을 느꼈다.
bear,"stand, tolerate","견디다; (고통 등을) 참다 , 나르다; (아이를) 낳다; (열매를) 맺다; 곰",She couldn't bear to see animals treated cruelly.,동물이 학대 받는 것을 차마 볼 수 없었다.
bear,"stand, tolerate","견디다; (고통 등을) 참다 , 나르다; (아이를) 낳다; (열매를) 맺다; 곰",Koreans add a year to babies as soon as they're born.,한국에서는 태어나자마자 한 살이에요.
bother,"trouble, disturb","괴롭히다, 귀찮게 하다, 성가시게 하다",Will you quit bothering me?,저를 그만 좀 귀찮게 하시지요.
dismal,"gloomy, dreary","우울한, 음울한; 음산한; 황량한",He spoke to me in a dismal voice.,그는 나에게 음침한 목소리로 말을 걸었다.
character,,"인격, 성격, 품성; 특성; 주인공, 등장인물; 문자","You may call him a genius, but you can't call him a man of character.",그를 천재라고 부를지도 모르지만 인격자라고 할 수는 없다.
character,,"인격, 성격, 품성; 특성; 주인공, 등장인물; 문자","Can you tell me something about the main character, Nick?",주인공 Nick에 대해 말씀해 주시겠습니까?
temper,,"기질, 성미, 기분; 부드럽게 하다, 진정시키다",She easily loses her temper for nothing.,그녀는 아무 것도 아닌 일에 곧잘 성을 낸다.
emotion,"feeling, sentiment","감정, 감동; 정서",So I figured I'd have to make a choice not related to emotions.,따라서 저는 감정에 치우치지 않은 선택을 해야 한다고 생각했습니다.
selfish,self-interested,"이기적인 , 이기주의의","Above all, a man of culture should not be selfish.",무엇보다 교양 있는 사람이라면 이기적이어서는 안 된다.
experience,practice in an activity,"경험, 체험, 견문; 경력; 경험[체 험]하다",I can learn many indirect experiences through books.,책을 통해 많은 간접 경험을 할 수 있다.
